ID,NAME,DESCRIPTION
1,Dried Peach,"Revision of Radioactive Element in Chest Wall, Open Approach"
2,Muffin Batt - Carrot Spice,"Supplement Pulm Trunk with Synth Sub, Perc Endo Approach"
3,"Gin - Gilbeys London, Dry","Release Left Common Carotid Artery, Percutaneous Approach"
4,Wine - Winzer Krems Gruner,Beam Radiation of Ileum using Neutron Capture
5,Haggis,"Bypass Splenic Vein to R Renal Vein w Autol Vn, Perc Endo"
6,"Capon - Breast, Wing On","Drainage of Right Shoulder Joint, Perc Endo Approach, Diagn"
7,Anchovy In Oil,"Drainage of Left Internal Jugular Vein, Open Approach"
8,Truffle Paste,"Introduction of Other Anti-infective into Fem Reprod, Endo"
9,Versatainer Nc - 8288,"Release Duodenum, Percutaneous Approach"
10,"Salmon - Atlantic, Skin On","Bypass R Ext Iliac Vein to Low Vein w Nonaut Sub, Open"
